op,operator_run,status,already_in_ncnn,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
Strassen_Convolution_2D,True,success,True,success,0.0,True,0.0009322166442871094,True,True,0.0009322166442871094,True,0.088,0.09,37.52,3.3,3.42
StridedSlice,True,success,True,success,0.0,True,0.0,True,True,0.0,True,3.667,0.333,0.03,0.11,0.01
Sub,True,success,True,success,0.0,True,0.0,True,True,0.0,True,6.25,0.25,0.04,0.25,0.01
Tan,True,success,True,success,1.52587890625e-05,True,0.015625,True,True,0.015625,True,2.326,0.875,1.84,4.28,1.61
Tanh,True,success,True,success,5.960464477539063e-08,True,2.384185791015625e-07,True,True,2.384185791015625e-07,True,1.159,1.136,0.44,0.51,0.5
Tile,True,fail,,fail,,,,,,,,,,,,
TopK,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,5.76,,
TopK_3d,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.05,,
TopK_dim0,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.34,,
TopK_indices,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,2.61,,
TopK_sorted,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.08,,
Trilu_lower,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,,,
Trilu_uppper,False,,,,,,,,,,,,,,,
Unique,False,,,,,,,,,,,,,,,
Unique_sorted_with_axis,False,,,,,,,,,,,,,,,
Unique_sorted_with_axis_3d,False,,,,,,,,,,,,,,,
Where,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.27,,
Where_broadcast,True,success,False,success,0.0,True,0.0,True,True,0.0,False,,,0.02,,
Where_scalar,False,,,,,,,,,,,,,,,
Winograd_Convolution_2D,True,success,True,success,0.0,True,0.0013492107391357422,True,True,0.0013492107391357422,True,0.057,0.111,801.88,45.38,81.47
Winograd_Convolution_2D_padding,True,success,True,success,0.0,True,0.001038193702697754,True,True,0.001038193702697754,True,0.065,0.084,61.51,4.01,5.19
