op,operator_run,status,already_in_ncnn,decomposed,optimization_lands,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,device_status,device_latency,device_speedup,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
TopK_indices,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.044,,False,,,2.61,,
TopK_sorted,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0418,,False,,,0.08,,
Trilu_lower,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.0008,,False,,,,,
Trilu_uppper,False,,,False,True,,,,,,,,,,,,,,,,
Unique,False,,,False,True,,,,,,,,,,,,,,,,
Unique_sorted_with_axis,False,,,False,True,,,,,,,,,,,,,,,,
Unique_sorted_with_axis_3d,False,,,False,True,,,,,,,,,,,,,,,,
Where,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,18.9065,,False,,,0.27,,
Where_broadcast,True,success,False,False,True,success,0.0,True,0.0,True,True,0.0,passed,0.2764,,False,,,0.02,,
Where_scalar,False,,,False,True,,,,,,,,,,,,,,,,
Winograd_Convolution_2D,True,success,True,False,True,success,1.430511474609375e-06,True,0.0013489723205566406,True,True,0.0013489723205566406,passed,99.3899,,True,0.057,0.111,801.88,45.38,81.47
